Sample Name,Tudor,Hsp71,Hsp70,GAPDH,EF1a,B-actin,18s,aPKC,gli,hh1,nos2,par3,par6,piwi1,piwi2,pl10,ptc,smo,soxF1,vas1,vas2-1,vas2-2,vas2-3,dlg,lgl,vas2-17,vas2-3347
0-dpf-1,23.389,24.357,26.16,22.062,23.755,20.033,24.489,26.308,30.267,25.561,20.972,24.131,22.806,22.035,22.488,26.614,31.436,31.748,32.139,24.705,26.243,24.241,24.923,,,,
0-dpf-1,23.453,24.288,26.145,22.017,23.732,20.176,24.495,26.425,30.283,25.488,20.999,24.202,23.031,22.129,22.491,26.730,31.399,31.682,31.916,24.702,26.451,24.339,25.033,,,,
0-dpf-1,23.469,24.324,26.352,22.063,23.818,20.122,24.61,26.471,30.257,25.698,21.022,24.400,22.985,22.113,22.410,26.825,30.997,32.491,32.323,24.844,26.397,24.564,25.068,,,,
1-dpf-1,23.482,21.097,25.977,20.043,16.513,21.585,23.544,23.741,25.546,25.439,21.080,23.834,24.019,20.102,23.081,24.546,27.435,28.368,24.744,25.030,24.840,22.607,22.590,,,,
1-dpf-1,23.501,21.108,26.062,20.048,16.483,21.643,23.607,23.673,25.563,25.550,21.114,23.795,24.042,20.109,22.996,24.530,27.587,28.196,24.755,25.020,24.887,22.560,22.693,,,,
1-dpf-1,23.578,21.106,25.986,20.106,16.53,21.539,23.671,23.800,25.374,25.588,21.130,23.811,24.004,20.130,23.012,24.531,27.667,28.181,24.871,25.150,24.887,22.479,22.604,,,,
2-dpf-1,24.507,20.848,26.467,19.158,16.329,20.463,24.159,23.883,24.761,24.982,21.375,24.001,24.082,20.840,23.419,24.797,25.787,28.035,22.634,25.958,25.394,23.224,23.250,,,,
2-dpf-1,24.571,20.84,26.614,19.158,16.345,20.365,24.182,24.020,24.828,25.019,21.444,24.006,24.232,20.834,23.433,24.870,25.986,28.084,22.697,25.801,25.416,23.292,23.266,,,,
2-dpf-1,24.358,20.816,26.564,19.146,16.201,20.523,23.96,23.863,24.713,24.917,21.346,23.843,24.098,20.751,23.365,24.793,25.846,27.992,22.590,25.657,25.216,22.988,23.183,,,,
3-dpf-1,24.767,20.455,27.161,18.815,16.108,18.969,24.341,24.007,24.707,25.036,21.606,23.936,24.180,20.901,23.688,25.046,25.196,27.453,22.652,26.306,25.469,23.368,23.318,,,,
3-dpf-1,24.975,20.562,27.062,18.761,16.133,19.093,24.446,24.007,24.641,24.958,21.593,23.864,24.208,20.986,23.768,24.886,25.382,27.754,22.659,26.166,25.614,23.452,23.507,,,,
3-dpf-1,24.989,20.528,27.122,18.79,16.169,18.99,24.335,24.263,24.739,24.988,21.639,23.941,24.201,20.954,23.657,24.873,25.484,27.841,22.669,26.237,25.574,23.355,23.546,,,,
4-dpf-1,24.895,20.086,26.863,18.983,15.992,17.849,24.508,23.672,24.652,24.873,21.771,23.510,24.117,20.967,23.691,25.120,25.125,27.322,22.939,26.262,25.566,23.253,23.324,,,,
4-dpf-1,24.833,20.105,26.961,18.954,16.067,17.732,24.535,23.706,24.709,25.089,21.825,23.609,24.250,21.002,23.640,24.982,25.341,27.465,22.955,26.121,25.403,23.195,23.354,,,,
4-dpf-1,24.964,20.036,26.907,18.945,16.016,17.816,24.458,23.684,24.763,25.027,21.798,23.570,24.192,20.976,23.760,25.245,25.635,27.584,22.901,26.215,25.409,23.320,23.345,,,,
5-dpf-1,24.993,19.578,26.912,18.854,15.92,17.798,24.722,23.869,24.697,24.984,21.992,23.690,24.337,21.323,23.998,25.254,25.205,27.377,22.856,26.194,25.622,23.495,23.591,,,,
5-dpf-1,24.903,19.505,26.779,18.722,15.797,17.704,24.615,23.788,24.589,24.872,21.906,23.635,24.237,21.249,23.901,25.301,25.350,27.360,22.897,26.016,25.465,23.343,23.637,,,,
5-dpf-1,25.045,19.559,26.981,18.859,15.874,17.755,24.723,23.862,24.734,25.024,21.979,23.623,24.295,21.262,23.941,25.452,25.403,27.839,22.883,25.998,25.631,23.408,23.608,,,,
6-dpf-1,25.159,19.614,26.943,18.694,15.851,17.761,24.81,24.005,24.952,25.096,22.036,23.887,24.508,21.504,24.205,25.704,25.037,27.759,22.812,26.430,25.516,23.476,23.884,,,,
6-dpf-1,25.195,19.622,26.989,18.651,15.813,17.816,24.832,24.052,24.913,24.962,22.088,23.850,24.450,21.623,24.245,25.690,25.236,27.845,22.921,26.394,25.814,23.617,23.824,,,,
6-dpf-1,25.08,19.555,27.094,18.674,15.855,17.792,24.778,24.028,24.910,25.150,22.124,23.861,24.279,21.582,24.235,25.919,25.333,27.893,22.839,26.278,25.729,23.610,23.981,,,,
7-dpf-1,25.333,19.243,26.885,18.496,15.752,17.612,24.924,24.083,24.748,24.955,22.123,23.850,24.535,21.813,24.501,25.919,24.990,27.697,22.952,26.734,24.052,23.875,24.060,,,,
7-dpf-1,25.258,19.223,26.983,18.449,15.684,17.626,24.909,24.200,24.797,24.994,22.235,24.036,24.513,21.832,24.438,25.965,25.136,27.734,22.934,26.446,26.010,23.733,24.145,,,,
7-dpf-1,25.335,19.231,26.936,18.48,15.735,17.654,24.779,24.087,24.829,24.917,22.091,24.015,24.471,21.918,24.366,26.001,25.345,27.410,23.022,26.444,25.787,23.739,24.092,,,,
0-dpf-4,22.938,23.235,25.643,22.390,22.953,19.867,23.746,25.559,29.392,24.345,21.007,23.092,22.664,21.995,22.254,24.977,31.395,31.481,31.691,23.606,,,,23.614,19.591,24.087,32.167
0-dpf-4,22.991,22.951,25.427,22.254,22.778,19.778,23.507,25.412,29.211,24.265,20.854,22.952,22.694,21.878,22.123,24.925,30.922,31.806,31.798,23.573,,,,23.539,19.380,24.001,31.508
0-dpf-4,22.963,23.240,25.473,22.211,22.850,19.746,23.587,25.245,29.314,24.299,20.878,23.002,22.554,21.918,22.090,24.920,30.694,31.527,32.202,23.549,,,,23.601,19.404,23.951,31.862
1-dpf-4,22.304,20.195,24.808,20.172,15.713,21.083,22.280,22.493,24.017,24.734,20.843,22.345,23.198,19.516,22.335,22.333,27.598,27.352,26.391,22.985,,,,22.136,19.968,21.756,25.314
1-dpf-4,22.277,20.192,24.669,20.141,15.640,22.275,22.180,22.376,23.957,24.630,20.822,22.274,23.128,19.438,22.298,22.265,27.416,27.250,26.412,23.028,,,,22.117,20.011,21.659,25.295
